"View Credit Memo","Gutschrift anzeigen"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRRL)."
"Digital items covered by this waiver","Vom Verzicht erfasste digitale Inhalte"
"Your express consent","Ihre ausdrückliche Zustimmung"
"Consented at:","Eingewilligt am:"
"Your acknowledgment of loss of withdrawal right","Ihre Bestätigung des Verlusts des Widerrufsrechts"
"Acknowledged at:","Bestätigt am:"
"Waiver reference:","Verzichtsreferenz:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id"
"Hyvä %name,","Sehr geehrte/r %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRRL)."
"Luopumisen kattamat digitaaliset sisällöt","Durch den Verzicht abgedeckte digitale Inhalte"
"Nimenomainen suostumuksesi","Ihre ausdrückliche Einwilligung"
"Suostuttu:","Eingewilligt am:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Ihre Bestätigung zum Verlust des Widerrufsrechts"
"Vahvistettu:","Bestätigt am:"
"Luopumisen viite:","Verzichtsreferenz:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id"
"Cher/Chère %name,","Sehr geehrte/r %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRRL)."
"Contenus numériques couverts par la présente renonciation","Durch den Verzicht abgedeckte digitale Inhalte"
"Votre consentement exprès","Ihre ausdrückliche Einwilligung"
"Consenti le :","Eingewilligt am:"
"Votre reconnaissance de la perte du droit de rétractation","Ihre Bestätigung zum Verlust des Widerrufsrechts"
"Reconnu le :","Bestätigt am:"
"Référence de renonciation :","Verzichtsreferenz:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id"
"Beste %name,","Sehr geehrte/r %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRRL)."
"Onder deze afstand vallende digitale items","Durch den Verzicht abgedeckte digitale Inhalte"
"Uw uitdrukkelijke toestemming","Ihre ausdrückliche Einwilligung"
"Toestemming verleend op:","Eingewilligt am:"
"Uw erkenning van verlies van herroepingsrecht","Ihre Bestätigung zum Verlust des Widerrufsrechts"
"Erkend op:","Bestätigt am:"
"Afstandreferentie:","Verzichtsreferenz:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU-Widerruf] Belegversand fehlgeschlagen — Antrag #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Die Beleg-E-Mail für Widerrufsantrag #%request_id konnte dauerhaft nicht zugestellt werden."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Prüfen Sie die Spalte <code>mm_eu_withdrawal_request.receipt_last_error</code> auf die letzte Fehlermeldung und die Spalte <code>mm_eu_withdrawal_request.receipt_send_attempts</code> auf die Anzahl der Wiederholungsversuche."
"You can requeue the send from the admin grid after resolving the underlying issue.","Nach Behebung der zugrunde liegenden Ursache können Sie den Versand aus dem Admin-Grid erneut in die Warteschlange stellen."
"Your refund is on its way — Withdrawal #%1","Ihre Erstattung ist unterwegs — Widerruf #%1"
"Your refund is on its way","Ihre Erstattung ist unterwegs"
"Hi %name, we've approved your withdrawal request and started the refund process.","Hallo %name, wir haben Ihren Widerrufsantrag genehmigt und den Erstattungsprozess gestartet."
"View refund details","Erstattungsdetails ansehen"
"Withdrawal number","Widerrufsnummer"
"Approved on","Genehmigt am"
"Estimated arrival","Voraussichtlicher Eingang"
"Status","Status"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Ihre Erstattung erfolgt auf Ihre ursprüngliche Zahlungsmethode innerhalb von 5–7 Werktagen. Sie sehen sie auf Ihrer Karten- oder Kontoabrechnung, sobald sie eingegangen ist."
"Need help?","Brauchen Sie Hilfe?"
"Reply to this email or contact us at","Antworten Sie auf diese E-Mail oder schreiben Sie an"
"Your withdrawal was cancelled — Withdrawal #%1","Ihr Widerruf wurde storniert — Widerruf #%1"
"Your withdrawal was cancelled","Ihr Widerruf wurde storniert"
"Hi %name, we've cancelled your withdrawal request.","Hallo %name, wir haben Ihren Widerrufsantrag storniert."
"Submit a new request","Neuen Antrag stellen"
"Cancelled request","Stornierter Antrag"
"Cancelled on","Storniert am"
"Refund requested","Erstattung angefordert"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","War dies unerwartet, können Sie einen neuen Widerrufsantrag stellen, solange Ihre 14-Tage-Frist noch läuft. Melden Sie sich bei Fragen — wir helfen gerne weiter."
"Cancellation confirmed — Withdrawal #%1","Stornierung bestätigt — Widerruf #%1"
"Cancellation confirmed","Stornierung bestätigt"
"Hi %name, your withdrawal request has been cancelled as you asked.","Hallo %name, Ihr Widerrufsantrag wurde wie gewünscht storniert."
"Back to my orders","Zurück zu meinen Bestellungen"
"Cancelled by","Storniert von"
"You","Sie"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Ihre Bestellung bleibt aktiv, weitere Schritte sind nicht erforderlich. Falls Sie es sich anders überlegen, können Sie jederzeit innerhalb Ihrer 14-Tage-Frist einen neuen Widerrufsantrag stellen."
"Update on your withdrawal request — Withdrawal #%1","Update zu Ihrem Widerrufsantrag — Widerruf #%1"
"We can't process this withdrawal","Wir können diesen Widerruf nicht bearbeiten"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Hallo %name, nach Prüfung Ihres Widerrufsantrags können wir diesen nicht genehmigen."
"Request details","Antragsdetails"
"Reviewed on","Geprüft am"
"Decision","Entscheidung"
"Reason from our team","Grund unseres Teams"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Wenn Sie diese Entscheidung besprechen möchten, hilft unser Team gerne. Antworten Sie auf diese E-Mail oder verwenden Sie die obige Schaltfläche."
"Your withdrawal request has been submitted — Order #%1","Ihr Widerrufsantrag wurde übermittelt — Bestellung #%1"
"Your return request has been submitted","Ihr Widerrufsantrag wurde übermittelt"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Hallo %name, wir haben Ihren Widerrufsantrag erhalten und prüfen ihn derzeit. Sie hören von uns, sobald Ihre Rücksendung geprüft und Ihre Rückerstattung bearbeitet wurde."
"Return number","Widerrufsnummer"
"Requested on","Beantragt am"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Wir prüfen Ihre Rücksendung und benachrichtigen Sie nach der Genehmigung. Rückerstattungen erfolgen innerhalb von 5–7 Werktagen auf Ihre ursprüngliche Zahlungsmethode."
"If you have any questions, our customer service team is here to help.","Bei Fragen ist unser Kundenservice für Sie da."
"Visit our help center","Hilfe-Center besuchen"
"If you did not initiate this request, contact us immediately at","Falls Sie diesen Antrag nicht initiiert haben, kontaktieren Sie uns sofort unter"
"Withdrawal receipt — Order #%1","Widerrufsbescheinigung — Bestellung #%1"
"Withdrawal receipt","Widerrufsbescheinigung"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Hallo %name, diese E-Mail ist Ihr Widerrufsnachweis auf einem dauerhaften Datenträger gemäß Art. 11a Richtlinie 2011/83/EU. Bewahren Sie sie für Ihre Unterlagen auf."
"Submitted on","Eingereicht am"
"Your %store_name order confirmation","Ihre Bestellbestätigung von %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Vielen Dank für Ihre Bestellung bei %store_name."
"Once your package ships we will send you a tracking number.","Sobald Ihr Paket versendet wird, senden wir Ihnen eine Sendungsverfolgungsnummer."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Sie können den Status Ihrer Bestellung einsehen, indem Sie sich <a href=""%account_url"">in Ihrem Konto anmelden</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Bei Fragen zu Ihrer Bestellung erreichen Sie uns per E-Mail unter <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","oder telefonisch unter <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Unsere Geschäftszeiten sind <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Ihre Bestellung <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Bestellt am <span class=""no-link"">%created_at</span>"
"Billing Info","Rechnungsinformationen"
"Shipping Info","Versandinformationen"
"Payment Method","Zahlungsmethode"
"Shipping Method","Versandmethode"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Sobald Ihr Paket versendet wird, senden wir Ihnen eine E-Mail mit einem Link zur Sendungsverfolgung."
"Your %store_name order has shipped","Ihre Bestellung von %store_name wurde versendet"
"Your shipping confirmation is below. Thank you again for your business.","Ihre Versandbestätigung finden Sie unten. Vielen Dank nochmals für Ihren Einkauf."
"Your Shipment #%shipment_id for Order #%order_id","Ihre Sendung #%shipment_id zu Bestellung #%order_id"
"Your digital content waiver is on file","Ihre Verzichtserklärung zu digitalen Inhalten ist hinterlegt"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Hallo %name, Sie haben der sofortigen digitalen Lieferung der unten aufgeführten Artikel zugestimmt — dies ist Ihre Kopie auf einem dauerhaften Datenträger dieser Zustimmung (Art. 11a(4) CRD)."
"View order","Bestellung ansehen"
"Consented at","Zugestimmt am"
"Acknowledged at","Bestätigt am"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Bewahren Sie diese E-Mail als Aufzeichnung auf einem dauerhaften Datenträger auf. Der Händler hat den SHA-256-Hash des von Ihnen akzeptierten Rechtstextes gespeichert:"
"Digital content waiver","Verzicht auf das Widerrufsrecht für digitale Inhalte"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Wir benötigen Ihre ausdrückliche Zustimmung, bevor Sie diesen digitalen Artikel kaufen können — bitte lesen Sie beide Punkte sorgfältig."
"We log this consent with your IP and timestamp for our audit record.","Wir protokollieren diese Zustimmung mit Ihrer IP-Adresse und einem Zeitstempel für unsere Audit-Aufzeichnung."
"Continue","Weiter"
"Waiver could not be saved. Please retry.","Verzichtserklärung konnte nicht gespeichert werden. Bitte erneut versuchen."
"Enable for EU Withdrawal Lookup Form","Für das EU-Widerrufs-Suchformular aktivieren"
"MageMe Extensions","MageMe-Erweiterungen"
"EU Withdrawal","EU-Widerruf"
"General","Allgemein"
"Enable Module","Modul aktivieren"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktiviert Frontend und Cron-Jobs. Standard: deaktiviert. Schließen Sie die manuelle Einrichtungs-Checkliste ab, bevor Sie aktivieren."
"Request Number Prefix","Präfix der Antragsnummer"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Optionales Präfix, das der Widerrufsantragsnummer in der Kunden-Oberfläche vorangestellt wird (z. B. ergibt „RR-“ die Anzeige „RR-000000022“). Leer lassen, um die reine, mit Nullen aufgefüllte Nummer anzuzeigen."
"Default Contract Type","Standard-Vertragstyp"
"Frontend Route","Frontend-Route"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL-Präfix für den Widerrufsablauf für Kunden (z. B. ergibt <code>withdraw-contract</code> die Anzeige <code>/withdraw-contract/...</code>). Nur Kleinbuchstaben, Ziffern, Bindestriche und Unterstriche."
"Withdrawal Period","Widerrufsfrist"
"Delivery Confirmation Statuses","Status der Lieferbestätigung"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Wählen Sie einen oder mehrere Bestellstatus, deren <em>Übergang</em> in Ihrem Fulfillment-Prozess den Erhalt der Ware durch den Kunden bedeutet. Die 14-tägige Widerrufsfrist beginnt mit dem Zeitstempel des <em>frühesten</em> Übergangs der Bestellung in <em>einen</em> der ausgewählten Status (Art. 9(2)(b) Richtlinie 2011/83/EU). Die Mehrfachauswahl unterstützt Händler mit mehreren „geliefert“-Status (z. B. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Solange die Bestellung keinen dieser Status erreicht, besteht das Widerrufsrecht offen ohne feste Frist."
"Eligibility Rules (Art. 16 CRD Presets)","Berechtigungsregeln (Art. 16 VRRL-Voreinstellungen)"
"Art. 16(c) Custom-Made Goods","Art. 16(c) Maßangefertigte Waren"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Schließt Produkte aus, die nach Kundenspezifikation gefertigt oder eindeutig personalisiert sind (z. B. gravierte Schmuckstücke, Maßkonfektion). <strong>Erfordert</strong> das Produktattribut <code>is_custom_made = true</code>. Bei Aktivierung können Bestellungen mit solchen Artikeln nicht widerrufen werden — Kunden sehen dies beim Versuch, einen Widerruf zu starten."
"Art. 16(d) Perishable Goods","Art. 16(d) Verderbliche Waren"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Schließt Waren aus, die schnell verderben oder ablaufen können (frische Lebensmittel, Schnittblumen, Arzneimittel mit kurzer Haltbarkeit). <strong>Erfordert</strong> das Produktattribut <code>is_perishable = true</code>. Aktivieren Sie diese Option nicht für alle Kategorien — wenden Sie sie nur auf tatsächlich verderbliche SKUs an, andernfalls verweigern Sie rechtswidrig zulässige Widerrufe."
"Art. 16(e) Sealed Hygiene / Health","Art. 16(e) Versiegelte Hygiene-/Gesundheitsartikel"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Schließt versiegelte Hygiene- oder Gesundheitsartikel aus, <strong>nur wenn das Siegel nach der Lieferung gebrochen wurde</strong> (Kosmetik, Intimwäsche, versiegelte Medizinprodukte). <strong>Erfordert</strong> das Produktattribut <code>is_sealed_hygiene = true</code>. Der Ausschluss hängt von einer Siegelprüfung zum Zeitpunkt des Widerrufs ab (Workflow in Phase 04) — eine versiegelte, ungeöffnete Rücksendung bleibt widerrufsberechtigt."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16(i) Versiegelte Audio-/Video-/Software-Datenträger"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Schließt versiegelte Tonaufnahmen, Videoaufnahmen oder versiegelte Computersoftware aus, <strong>nur wenn das Siegel nach der Lieferung gebrochen wurde</strong>. <strong>Erfordert</strong> das Produktattribut <code>is_sealed_av = true</code>. Gleiche Siegelprüfungslogik wie Art. 16(e). Gilt nicht für Streaming-/Digital-Download-Inhalte — verwenden Sie hierfür Art. 16(m)."
"Digital Content (Art. 16(m))","Digitale Inhalte (Art. 16(m))"
"Detection","Erkennung"
"Enable Digital Content Detection","Erkennung digitaler Inhalte aktivieren"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Hauptschalter für die Erkennung digitaler Inhalte gemäß Art. 16(m). Bei Deaktivierung wird kein Produkt als digital erkannt, der Verzichtsschritt im Checkout entfällt, und die Voreinstellung lässt den Widerruf stets zu."
"Detection Strategies","Erkennungsstrategien"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Welche Produkttyp-Heuristiken den Verzichtsschritt für digitale Inhalte auslösen. Downloadable + virtual sind sichere Voreinstellungen; bundle_contains_digital prüft Bundle-Bestandteile; custom_attribute liest das unten konfigurierte EAV-Flag."
"Custom Attribute Code","Benutzerdefinierter Attributcode"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV-Attributcode, der <strong>nur</strong> verwendet wird, wenn oben unter <em>Erkennungsstrategien</em> die Option <em>Benutzerdefiniertes Attribut-Flag</em> ausgewählt ist. Standard: <code>is_digital_content</code> (boolesches Attribut, 1 = digital). Andernfalls ignoriert."
"Checkout Step + Email","Checkout-Schritt + E-Mail"
"Enable Checkout Waiver Step","Checkout-Schritt zum Verzicht aktivieren"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Bei Aktivierung wird in Warenkörben mit einem erkannten digitalen Artikel der Verzichtsschritt mit 2 Checkboxen im Checkout angezeigt. Hat keine Wirkung, sofern nicht auch <em>Erkennung → Erkennung digitaler Inhalte aktivieren</em> aktiviert ist."
"Merchant BCC Address for Confirmation Emails","BCC-Adresse des Händlers für Bestätigungs-E-Mails"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Optional. Sendet eine Blindkopie der Verzichtsbestätigungs-E-Mail an eine Händler-Audit-Adresse. Leer lassen, um zu überspringen."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Rein virtuelle Artikel bei Bestätigung als „Leistungsbeginn“ markieren"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuelle Produkte haben keinen Download-Auslöser. Bei Aktivierung gilt der Versand der Verzichtsbestätigungs-E-Mail als Leistungsbeginn für rein virtuelle Artikel (I-6-Grenze)."
"Confirmation Email Identity","Absenderidentität für Bestätigungs-E-Mails"
"Per-Locale Waiver Text Overrides","Pro Sprache überschriebener Verzichtstext"
"English (en_US)","Englisch (en_US)"
"Consent Text","Einwilligungstext"
"Right-Loss Acknowledgment Text","Bestätigungstext zum Verlust des Widerrufsrechts"
"German (de_DE)","Deutsch (de_DE)"
"Finnish (fi_FI)","Finnisch (fi_FI)"
"Dutch (nl_NL)","Niederländisch (nl_NL)"
"French (fr_FR)","Französisch (fr_FR)"
"Italian (it_IT)","Italienisch (it_IT)"
"Spanish (es_ES)","Spanisch (es_ES)"
"Polish (pl_PL)","Polnisch (pl_PL)"
"Portuguese (pt_PT)","Portugiesisch (pt_PT)"
"Danish (da_DK)","Dänisch (da_DK)"
"Swedish (sv_SE)","Schwedisch (sv_SE)"
"German — Austria (de_AT)","Deutsch — Österreich (de_AT)"
"Swedish — Finland (sv_FI)","Schwedisch — Finnland (sv_FI)"
"Dutch — Belgium (nl_BE)","Niederländisch — Belgien (nl_BE)"
"French — Belgium (fr_BE)","Französisch — Belgien (fr_BE)"
"German — Belgium (de_BE)","Deutsch — Belgien (de_BE)"
"French — Luxembourg (fr_LU)","Französisch — Luxemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Vorvertragliche Information (Art. 6 Abs. 1 lit. h)"
"Enable Pre-Contract Disclosure","Vorvertragliche Information aktivieren"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Hauptdeaktivierungsschalter. Deaktiviert = der Block wird nicht angezeigt und keine Anzeigeereignisse werden erfasst. Eine Deaktivierung setzt den Händler Art. 10 aus (verlängerte Widerrufsfrist von 12 Monaten + 14 Tagen). Standard: aktiviert."
"Withdrawal Period (Days)","Widerrufsfrist (Tage)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Standard 14 Tage gemäß Art. 9(2). Verlängerung zulässig (z. B. 30, 100). Eine Verkürzung unter 14 Tage ist unzulässig — das Feld validiert >=14 nur, wenn das Modul aktiviert ist."
"Return Address","Rücksendeadresse"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Wohin Verbraucher Waren zurücksenden. Leer lassen, um auf die Adresse aus Stores → Konfiguration → Allgemein → Allgemein → Storeinformationen zurückzugreifen."
"Display In Checkout","Im Checkout anzeigen"
"Annex I Overrides Per Locale","Anhang-I-Überschreibungen pro Sprache"
"Bulgarian (bg_BG)","Bulgarisch (bg_BG)"
"Czech (cs_CZ)","Tschechisch (cs_CZ)"
"Greek (el_GR)","Griechisch (el_GR)"
"Estonian (et_EE)","Estnisch (et_EE)"
"Croatian (hr_HR)","Kroatisch (hr_HR)"
"Hungarian (hu_HU)","Ungarisch (hu_HU)"
"Lithuanian (lt_LT)","Litauisch (lt_LT)"
"Latvian (lv_LV)","Lettisch (lv_LV)"
"Romanian (ro_RO)","Rumänisch (ro_RO)"
"Slovak (sk_SK)","Slowakisch (sk_SK)"
"Slovenian (sl_SI)","Slowenisch (sl_SI)"
"Frontend","Frontend"
"Buttons","Schaltflächen"
"Step 1 Button Label","Beschriftung der Schaltfläche von Schritt 1"
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase. Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Rechtlicher Warnhinweis (Lücke Nr. 4).</strong> Art. 11a(2) VRRL verlangt den wörtlichen Text „withdraw from contract here“ <em>oder eine entsprechende eindeutige Formulierung</em>. Der Standardwert („Withdraw from contract here“) ist die wörtliche Formulierung der Richtlinie; sprachenspezifische Übersetzungen sind in <code>i18n/*.csv</code> enthalten und entsprechen dem juristisch geprüften Wortlaut, der im Tag <code>legal.button-labels.v1</code> festgehalten ist. <strong>Überschreiben Sie diesen Wert nur nach schriftlicher Beratung durch qualifizierten Verbraucherrechtsbeistand in der Zielrechtsordnung.</strong> Jede Überschreibung wird im Audit-Log erfasst."
"Step 2 Button Label (Confirmation)","Beschriftung der Schaltfläche von Schritt 2 (Bestätigung)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Rechtlicher Warnhinweis (Lücke Nr. 4).</strong> Dies ist die Beschriftung der abschließenden Bestätigungsschaltfläche. Der Standard („Confirm withdrawal“) ist juristisch geprüft. Per-locale translations are counsel-signed. Nur nach schriftlicher Rechtsberatung überschreiben; Überschreibungen werden im Audit-Log erfasst."
"Placements","Platzierungen"
"Show Footer Link","Footer-Link anzeigen"
"Show in My Account","Im Kundenkonto anzeigen"
"Return Reasons","Rücksendegründe"
"Reasons","Gründe"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Liste der Gründe, die dem Kunden im Dropdown pro Artikel angeboten werden. <strong>Code</strong> ist der in der Datenbank gespeicherte Maschinenwert (Kleinbuchstaben, snake_case, max. 32 Zeichen); <strong>Bezeichnung</strong> ist der sichtbare Text. Eine leere Tabelle blendet das Dropdown vollständig aus."
"Enable ""Other"" with Free Text","Option „Sonstiges“ mit Freitext aktivieren"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Bei Aktivierung erscheint im Dropdown die Option „Sonstiges“, die ein Freitextfeld einblendet (max. 500 Zeichen)."
"Review Step","Prüfschritt"
"Return Shipping Notice","Hinweis zum Rückversand"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Text, der im Schritt „Prüfen & bestätigen“ (Schritt 3) angezeigt wird. Beispiel: „Sie erhalten ein vorausbezahltes Versandetikett in der Bestätigungs-E-Mail.“ oder „Die Kosten der Rücksendung trägt der Kunde.“ Leer lassen, um die Zeile auszublenden."
"Return Policy URL","URL der Rückgaberichtlinie"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Optionaler Link, der neben dem Versandhinweis angezeigt wird („Rückgaberichtlinie ansehen“). Akzeptiert absolute URLs oder relative Pfade wie „return-policy“."
"Customer Notifications","Kundenbenachrichtigungen"
